cik,ticker,year_old,year_new,filepath,n_added,n_removed,similarity,added_ratio
794170,TOL,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/794170_2018_2019.json,54,41,0.3501,0.2755
794170,TOL,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/794170_2019_2020.json,59,41,0.264,0.2757
794170,TOL,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/794170_2020_2021.json,76,64,0.685,0.3363
794170,TOL,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/794170_2021_2022.json,81,65,0.3964,0.3347
794170,TOL,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/794170_2022_2023.json,68,59,0.1172,0.2709
732717,T,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/732717_2015_2016.json,16,12,0.8489,0.5714
732717,T,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/732717_2016_2017.json,20,18,0.828,0.6667
732717,T,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/732717_2017_2018.json,12,14,0.9022,0.4286
732717,T,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/732717_2018_2019.json,18,15,0.7643,0.5806
732717,T,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/732717_2019_2020.json,122,20,0.1324,0.9173
732717,T,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/732717_2020_2021.json,117,41,0.4364,0.5598
732717,T,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/732717_2021_2022.json,117,60,0.6408,0.4398
732717,T,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/732717_2022_2023.json,91,156,0.1487,0.4527
712515,EA,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/712515_2015_2016.json,131,119,0.1771,0.5282
712515,EA,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/712515_2016_2017.json,120,124,0.242,0.4918
712515,EA,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/712515_2017_2018.json,132,100,0.1612,0.4783
712515,EA,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/712515_2018_2019.json,113,103,0.3158,0.3951
712515,EA,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/712515_2019_2020.json,181,162,0.1836,0.5934
712515,EA,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/712515_2020_2021.json,104,90,0.1139,0.326
712515,EA,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/712515_2021_2022.json,106,105,0.4015,0.3312
712515,EA,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/712515_2022_2023.json,76,131,0.2556,0.2868
