ticker,cik,year_new,filing_date,risk_update_intensity,vagueness_ratio,risk_financing,risk_regulatory,beta,car_d-3,car_d-2,car_d-1,car_d+0,car_d+1,car_d+2,car_d+3
GE,40533,2022,2022-02-09,0,1.0,0,0,1.1788985461443104,-0.0008800718444280219,0.010879888153749967,-0.005169985421082964,-0.02429157536917894,-0.009078091031554474,-0.007443905598797002,-0.00431172207501807
GE,40533,2023,2023-02-07,9,0.7142857142857143,1,4,1.0180260038805917,0.0026113092973838632,-0.013171970078421653,-0.004079700101456106,-0.021684300085011057,-0.015969230169817765,-0.024253631884538496,-0.02260653063540783
LOW,60667,2016,2016-03-29,3,0.5833333333333334,5,3,0.9602838406480003,0.0025751131834266337,0.002322944094261033,0.0042373862080017765,0.002437799806622459,0.002519642779750873,-0.00045239995726363124,0.004716267099257127
LOW,60667,2017,2017-04-04,0,,0,0,1.457715916550641,-0.003073846444780487,-0.0029518902938229057,-0.0015750865064593942,-0.008345570868302715,-0.0023316160469477355,-0.003534610828039654,-0.000795671293538215
LOW,60667,2018,2018-04-02,4,0.5714285714285714,0,4,1.175086157393537,-0.017860761933483345,-0.01567000274422659,-0.009629851122663919,-0.02046860018991744,-0.023743855475279976,-0.005295462024269521,-0.006081513892003773
LOW,60667,2019,2019-04-02,6,0.7,5,2,1.1059412087432945,0.0048665111330251165,0.008646886439768027,-0.00842875136312906,0.0010167514955162597,0.016864848737807143,0.027426464176222694,0.036706716276878285
LOW,60667,2020,2020-03-23,3,0.6666666666666666,1,0,1.1774251601911374,-0.04829321071469457,0.009811713902840268,0.003695598641213896,0.05741390758314302,0.09010304510299497,0.15424247389053605,0.13938314799550292
LOW,60667,2021,2021-03-22,8,0.6875,2,6,0.7640461265867224,-0.006953438491217798,0.01007945184621702,0.03597131881455137,0.04653198000277119,0.04835339137962255,0.05770077685099266,0.07839289662578691
LOW,60667,2022,2022-03-21,3,0.6666666666666666,2,2,0.816247900608531,-0.020839996496483045,-0.020252732085582592,-0.02600537237398232,-0.06005468711264558,-0.06705834850952401,-0.09162819580071249,-0.11146944563230696
LOW,60667,2023,2023-03-27,4,0.6,2,3,1.13228934289432,-0.00783273906636165,-0.01957586393485755,-0.02605044862883433,-0.023932630628182797,-0.024900480311724524,-0.031013267899038313,-0.03348381635667344
JPM,19617,2016,2016-02-23,5,0.6,1,4,1.2553869895704224,-0.011579173896762225,-0.011631723368139887,-0.01713457811991321,-0.04468036476583592,-0.05107039426104236,-0.04995343203982654,-0.04152725042384339
JPM,19617,2017,2017-02-28,5,0.6,0,5,1.0331070771878759,-0.00015002466683659258,-0.01125204185157151,-0.014064209470561695,-0.009020479882870008,0.008197891923436468,-0.0021690463129006993,0.0021605816062335737
JPM,19617,2018,2018-02-27,0,1.0,0,0,1.2433564856789512,-0.003240546694059962,-0.0023444309718669417,-0.0034760040958670456,-0.000884158398349765,-0.004156727846093129,-0.009810649702284874,-0.019226890609887946
JPM,19617,2019,2019-02-26,2,0.6666666666666666,0,8,0.8541051487201193,0.0014711307697285393,-0.007888233538020824,0.0019651771596150523,-0.0038563583637480116,-0.004986250079402594,-0.009639701124075578,-0.013621812623249945
JPM,19617,2020,2020-02-25,2,0.5,0,1,1.3414334949695088,0.002873640333332644,0.0031664803280212076,0.018274955640684844,0.012552596850838125,0.022180178068630665,0.03492806023937797,0.002441547000789253
JPM,19617,2021,2021-02-23,6,0.5454545454545454,0,3,0.9927365360232817,0.008255623680358721,0.020583862946876714,0.0378922531640027,0.04553839499382996,0.050258911200484334,0.06144409127817325,0.037078609586364206
JPM,19617,2022,2022-02-22,0,,0,0,0.7697477146886285,0.0015774571872148482,-0.005101331617174423,0.005978804654936073,0.01285645971280176,0.005835189139137666,-0.0343831238728606,-0.02774694333386349
JPM,19617,2023,2023-02-21,7,0.5454545454545454,0,2,0.8390191037446323,-0.0014845988011275508,-0.006547410164072106,-0.0030791162088092063,-0.0062178514795253725,-0.015325115959572488,-0.013354527089932698,0.002237357928092659
GS,886982,2016,2016-02-22,5,0.25,1,3,1.3702083253017994,-0.011480106066958304,-0.026558306896337085,-0.031357494360513403,-0.037726030041276684,-0.04721434968161481,-0.049093399187408675,-0.045310685519362785
GS,886982,2019,2019-02-26,1,0.3333333333333333,0,1,1.1494521784839336,-0.006022956181148725,-0.013980638381466876,-0.0008242662632235494,0.0033471940158774707,0.003962899390189107,0.0013450277797446616,0.0031831350677223036
GS,886982,2020,2020-02-21,7,0.4444444444444444,0,2,1.5420485201194551,-0.013185448572206259,-0.0033639087532233956,-0.018589605302150813,-0.012419683234019943,0.01033258686965547,0.025063818153378048,0.02511397902410403
GS,886982,2021,2021-02-22,5,0.5833333333333334,2,2,0.9167155598928071,0.0027143333207525072,-0.0022645426689895925,0.011761876194226167,0.02263006653331595,0.029255847929462297,0.052771347582157124,0.0665197839637086
