cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name
731766,UNH,2020,2021,133,8,0.03759398496240601,0.5384615384615384,138,0.3332,0.4585,0,3,10,0,0,0,0,Health Care,UnitedHealth Group
731766,UNH,2021,2022,74,7,0.0945945945945946,0.35714285714285715,78,0.7032,0.2557,1,3,10,0,0,0,0,Health Care,UnitedHealth Group
731766,UNH,2022,2023,94,9,0.05319148936170213,0.42857142857142855,98,0.2605,0.3322,3,0,11,0,0,0,0,Health Care,UnitedHealth Group
858877,CSCO,2015,2016,59,0,0.0,,61,0.8995,0.1821,0,0,0,0,0,0,0,Information Technology,Cisco Systems
858877,CSCO,2016,2017,53,8,0.09433962264150944,0.38461538461538464,54,0.9438,0.1636,4,2,3,0,3,1,0,Information Technology,Cisco Systems
858877,CSCO,2017,2018,47,2,0.10638297872340426,0.42857142857142855,48,0.9282,0.1437,0,2,0,0,4,1,0,Information Technology,Cisco Systems
858877,CSCO,2018,2019,57,7,0.17543859649122806,0.35294117647058826,58,0.8796,0.1796,3,5,3,0,3,1,2,Information Technology,Cisco Systems
858877,CSCO,2019,2020,74,5,0.12162162162162163,0.2857142857142857,81,0.8492,0.2275,3,1,6,0,2,1,1,Information Technology,Cisco Systems
858877,CSCO,2020,2021,136,10,0.04411764705882353,0.3125,151,0.1062,0.416,0,8,7,0,0,1,0,Information Technology,Cisco Systems
858877,CSCO,2021,2022,94,12,0.02127659574468085,0.35714285714285715,99,0.1913,0.2612,0,4,10,0,0,0,0,Information Technology,Cisco Systems
858877,CSCO,2022,2023,74,9,0.06756756756756757,0.5714285714285714,79,0.499,0.2213,1,9,4,0,0,0,0,Information Technology,Cisco Systems
109198,TJX,2015,2016,1315,0,0.026615969581749048,1.0,1562,0.0709,0.9243,5,0,9,0,0,0,21,Consumer Discretionary,TJX Companies
109198,TJX,2016,2017,764,0,0.005235602094240838,1.0,861,0.3439,0.5676,0,0,0,0,0,0,4,Consumer Discretionary,TJX Companies
109198,TJX,2017,2018,99,0,0.0,,116,0.0413,0.5156,0,0,0,0,0,0,0,Consumer Discretionary,TJX Companies
109198,TJX,2018,2019,99,0,0.0,,111,0.0357,0.5139,0,0,0,0,0,0,0,Consumer Discretionary,TJX Companies
109198,TJX,2019,2020,71,8,0.04225352112676056,0.7272727272727273,77,0.5967,0.3305,2,0,4,0,3,2,0,Consumer Discretionary,TJX Companies
109198,TJX,2020,2021,150,3,0.04666666666666667,0.6,161,0.0533,0.6466,0,0,8,2,0,0,0,Consumer Discretionary,TJX Companies
109198,TJX,2021,2022,119,0,0.0,,123,0.3466,0.4767,0,0,0,0,0,0,0,Consumer Discretionary,TJX Companies
109198,TJX,2022,2023,128,2,0.046875,0.625,132,0.1765,0.5077,2,0,5,0,1,0,0,Consumer Discretionary,TJX Companies
318154,AMGN,2015,2016,190,8,0.010526315789473684,0.6,202,0.0613,0.6312,1,1,2,2,0,4,0,Health Care,Amgen Inc.
318154,AMGN,2016,2017,189,2,0.037037037037037035,0.7777777777777778,213,0.5035,0.5884,2,2,1,0,3,1,0,Health Care,Amgen Inc.
318154,AMGN,2017,2018,159,0,0.0,,183,0.3484,0.4399,0,0,0,0,0,0,0,Health Care,Amgen Inc.
318154,AMGN,2018,2019,207,4,0.014492753623188406,0.7142857142857143,225,0.5305,0.4808,0,4,1,0,1,1,0,Health Care,Amgen Inc.
318154,AMGN,2019,2020,262,0,0.007633587786259542,1.0,293,0.5545,0.5602,0,0,0,0,2,0,0,Health Care,Amgen Inc.
318154,AMGN,2020,2021,309,6,0.009708737864077669,0.5555555555555556,339,0.2268,0.506,0,0,1,0,4,4,0,Health Care,Amgen Inc.
318154,AMGN,2021,2022,232,8,0.017241379310344827,0.6666666666666666,260,0.5144,0.3875,4,0,0,3,2,3,0,Health Care,Amgen Inc.
318154,AMGN,2022,2023,214,8,0.028037383177570093,0.42857142857142855,230,0.5635,0.3538,3,0,0,1,4,6,0,Health Care,Amgen Inc.
316709,SCHW,2015,2016,69,1,0.11594202898550725,0.8888888888888888,75,0.2035,0.4658,4,1,2,0,0,2,0,Financials,Charles Schwab
316709,SCHW,2016,2017,52,4,0.15384615384615385,0.6666666666666666,61,0.3004,0.4067,6,0,1,0,4,1,0,Financials,Charles Schwab
316709,SCHW,2017,2018,105,1,0.0380952380952381,1.0,124,0.0807,0.8267,2,0,0,0,1,2,0,Financials,Charles Schwab
316709,SCHW,2018,2019,38,0,0.0,,41,0.6725,0.2595,0,0,0,0,0,0,0,Financials,Charles Schwab
316709,SCHW,2019,2020,78,0,0.0,,82,0.2162,0.3886,0,0,0,0,0,0,0,Financials,Charles Schwab
316709,SCHW,2020,2021,122,2,0.0,0.0,132,0.0851,0.5617,0,0,1,0,1,0,0,Financials,Charles Schwab
316709,SCHW,2021,2022,54,11,0.05555555555555555,0.42857142857142855,57,0.8197,0.2365,8,0,1,0,3,2,0,Financials,Charles Schwab
316709,SCHW,2022,2023,59,0,0.0,,60,0.6029,0.2521,0,0,0,0,0,0,0,Financials,Charles Schwab
1800,ABT,2015,2016,20,0,0.0,,25,0.8204,0.1773,0,0,0,0,0,0,0,Health Care,Abbott Laboratories
1800,ABT,2016,2017,51,2,0.17647058823529413,0.7272727272727273,59,0.4187,0.396,0,0,1,1,1,5,3,Health Care,Abbott Laboratories
1800,ABT,2017,2018,18,0,0.0,,20,0.6201,0.1504,0,0,0,0,0,0,0,Health Care,Abbott Laboratories
1800,ABT,2018,2019,20,0,0.0,,23,0.8489,0.1704,0,0,0,0,0,0,0,Health Care,Abbott Laboratories
1800,ABT,2019,2020,62,0,0.03225806451612903,1.0,70,0.1537,0.6195,0,0,0,0,0,0,2,Health Care,Abbott Laboratories
