cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name,roa,rev_growth,leverage,current_ratio,log_assets,roa_t1,rev_growth_t1,leverage_t1,current_ratio_t1,annual_ret,annual_ret_t1
60667,LOW,2017,2018,47,4.0,0.0638297872340425,0.5714285714285714,52,0.2898,0.319,1,1,4,1,0,0,0,Consumer Discretionary,Lowe's Companies,0.067056914338704,0.0392019702997712,0.417033731308682,0.9814444367800236,10.448946460196469,0.1084593752375161,0.0117656957747269,0.5247143472422792,1.0089579765511791,0.0122441590920889,0.3224276084711308
60667,LOW,2018,2019,50,6.0,0.08,0.7,58,0.0211,0.3135,1,1,2,0,5,1,0,Consumer Discretionary,Lowe's Companies,0.1084593752375161,0.0117656957747269,0.5247143472422792,1.0089579765511791,10.583321504033949,0.124852893976677,0.2418500859344681,0.5254734139296031,1.191991457554725,0.3224276084711308,0.364100864663033
60667,LOW,2019,2020,46,3.0,0.0652173913043478,0.6666666666666666,48,0.5954,0.2759,2,0,0,0,1,2,1,Consumer Discretionary,Lowe's Companies,0.124852893976677,0.2418500859344681,0.5254734139296031,1.191991457554725,10.752248627616684,0.1891129032258064,0.0742547183499446,0.6245519713261649,1.0199308521456172,0.364100864663033,0.6333298369062799
60667,LOW,2020,2021,56,8.0,0.1428571428571428,0.6875,61,0.1318,0.3333,4,0,6,0,2,4,0,Consumer Discretionary,Lowe's Companies,0.1891129032258064,0.0742547183499446,0.6245519713261649,1.0199308521456172,10.706385597055192,0.1472728104694792,0.0084051948051948,0.8325249382264116,1.098969811900979,0.6333298369062799,-0.2149907624062366
60667,LOW,2021,2022,109,3.0,0.055045871559633,0.6666666666666666,115,0.2467,0.53,1,0,2,1,2,3,0,Consumer Discretionary,Lowe's Companies,0.1472728104694792,0.0084051948051948,0.7372043486979952,1.098969811900979,10.685286430690637,0.1848546476851298,-0.1100567695937522,0.9360210551501376,1.225012846865365,-0.2149907624062366,0.1404078336784676
60667,LOW,2022,2023,90,4.0,0.0666666666666666,0.6,92,0.3079,0.4144,1,0,3,1,2,3,0,Consumer Discretionary,Lowe's Companies,0.1848546476851298,-0.1100567695937522,0.7372043486979952,1.225012846865365,10.640531994133257,0.1614078233028629,-0.0312930525487108,0.8475012760428751,1.0853548008743403,0.1404078336784676,0.130244948610611
19617,JPM,2015,2016,135,5.0,0.074074074074074,0.6,151,0.0621,0.5412,10,0,4,0,1,0,0,Financials,JPMorgan Chase,0.0099290558063278,0.0496954981491064,0.1088912280025628,,14.728183553715466,0.0096467477107672,0.0736401039000436,0.1059843700663088,,0.3456585868827728,0.2673166790481817
19617,JPM,2016,2017,150,5.0,0.0333333333333333,0.6,173,0.1504,0.534,5,0,5,0,0,0,0,Financials,JPMorgan Chase,0.0096467477107672,0.0736401039000436,0.1059843700663088,,14.745151774206567,0.0123826897059788,0.1603298779734048,0.095189305602372,,0.2673166790481817,-0.0664592451833317
19617,JPM,2017,2018,361,0.0,0.002770083102493,1.0,415,0.0098,0.9742,1,0,0,0,0,0,0,Financials,JPMorgan Chase,0.0123826897059788,0.1603298779734048,0.095189305602372,,14.77965082127538,0.0135563312804036,0.0837823029860287,0.0973885707970479,,-0.0664592451833317,0.472674433950407
19617,JPM,2018,2019,269,2.0,0.0260223048327137,0.6666666666666666,292,0.1351,0.6046,1,0,8,0,0,0,0,Financials,JPMorgan Chase,0.0135563312804036,0.0837823029860287,0.0973885707970479,,14.804076927148664,0.0086031864069005,-0.0907093005294126,0.0777476313993416,,0.472674433950407,-0.0551745745315929
19617,JPM,2019,2020,148,2.0,0.0405405405405405,0.5,163,0.2606,0.3638,3,0,1,0,0,4,0,Financials,JPMorgan Chase,0.0086031864069005,-0.0907093005294126,0.0777476313993416,,15.035180810150004,0.0129112154263567,-0.0177679281561045,0.0765465129914864,,-0.0551745745315929,0.277251098879401
19617,JPM,2020,2021,231,6.0,0.0216450216450216,0.5454545454545454,249,0.3292,0.5082,6,0,3,0,0,2,0,Financials,JPMorgan Chase,0.0129112154263567,-0.0177679281561045,0.0765465129914864,,15.135549458182044,0.0102778618140988,0.2168991053599787,0.0741691384256888,,0.277251098879401,-0.1261086337123708
19617,JPM,2021,2022,178,0.0,0.0,,189,0.1311,0.4181,0,0,0,0,0,0,0,Financials,JPMorgan Chase,0.0102778618140988,0.2168991053599787,0.0741691384256888,,15.1145416012692,0.0127863161232938,0.5266357434492739,0.0901802733296984,,-0.1261086337123708,0.3062757048719586
19617,JPM,2022,2023,131,7.0,0.0305343511450381,0.5454545454545454,135,0.0304,0.3132,7,0,2,0,0,2,0,Financials,JPMorgan Chase,0.0127863161232938,0.5266357434492739,0.0901802733296984,,15.170157634981829,0.0146074736422926,0.1798138893238148,0.0922740851810751,,0.3062757048719586,0.4427011700762253
886982,GS,2015,2016,132,5.0,0.053030303030303,0.25,175,0.1339,0.4279,6,0,3,1,1,1,0,Financials,Goldman Sachs,0.0086006754518028,-0.0326747332414356,0.2295966471549063,,13.66487951029194,0.0046750787542431,0.1323956299150261,0.2482383919299807,,0.349064140918128,0.0773797552704155
886982,GS,2018,2019,123,1.0,0.016260162601626,0.3333333333333333,168,0.1666,0.3256,2,0,1,0,0,0,0,Financials,Goldman Sachs,0.0085259545121292,0.0296746104491292,0.2229820094907388,,13.808453716929002,0.0081330802009925,-0.0078632098215941,0.1962987993410304,,0.4046348027637614,0.174773518552689
886982,GS,2019,2020,169,7.0,0.0118343195266272,0.4444444444444444,205,0.0547,0.3853,3,0,2,0,0,4,0,Financials,Goldman Sachs,0.0081330802009925,-0.0078632098215941,0.1962987993410304,,13.966537506877367,0.014778126596666,0.214793076376687,0.1815274442140236,,0.174773518552689,0.4759019170884146
886982,GS,2020,2021,172,5.0,0.0406976744186046,0.5833333333333334,224,0.0839,0.3672,8,0,2,0,2,0,0,Financials,Goldman Sachs,0.014778126596666,0.214793076376687,0.1815274442140236,,14.19667477674849,0.0078103813360946,0.0572712305159335,0.1778326937388637,,0.4759019170884146,-0.0786443131445845
