gvkey,cik,fyear,datadate,ni,at,sale,dltt,act,lct,ceq,sich,roa,leverage,current_ratio,log_assets,rev_growth
007435,0000066740,2016,2016-12-31,5050.0,32906.0,30109.0,10723.0,11726.0,6219.0,10298.0,2670,0.1534674527441804,0.32586762292591015,1.8855121402154686,10.401410290946595,-0.00545022131201689
007435,0000066740,2017,2017-12-31,4858.0,37987.0,31657.0,12156.0,14277.0,7687.0,11563.0,2670,0.12788585568747202,0.32000421196725193,1.857291531156498,10.54499927491401,0.05141319871134886
007435,0000066740,2018,2018-12-31,5349.0,36500.0,32765.0,13486.0,13709.0,7244.0,9796.0,2670,0.14654794520547945,0.36947945205479454,1.8924627277747101,10.505067539570582,0.03500015794295108
007435,0000066740,2019,2019-12-31,4570.0,44659.0,32136.0,18236.0,12971.0,9222.0,10063.0,2670,0.1023309971114445,0.4083387447099129,1.406527868141401,10.706811133741756,-0.019197314207233362
007435,0000066740,2020,2020-12-31,5384.0,47344.0,32184.0,18691.0,14982.0,7948.0,12867.0,2670,0.11372085163906726,0.39479131463332207,1.885002516356316,10.76519537463999,0.0014936519790889058
007435,0000066740,2021,2021-12-31,5921.0,47072.0,35355.0,16740.0,15403.0,9035.0,15046.0,2670,0.12578602991162474,0.3556254248810333,1.704814609850581,10.759433623401165,0.09852721849366142
007435,0000066740,2022,2022-12-31,5777.0,46455.0,34229.0,14656.0,14688.0,9523.0,14722.0,2670,0.12435690453126681,0.31548810676999245,1.5423711015436312,10.746239381075412,-0.031848394852213247
007435,0000066740,2023,2023-12-31,-6995.0,50580.0,31392.0,13682.0,16379.0,15297.0,4807.0,9997,-0.13829576907868724,0.2705021747726374,1.0707328234294307,10.831311520223956,-0.08288293552251014
007435,0000066740,2024,2024-12-31,4173.0,39868.0,23630.0,11577.0,15884.0,11256.0,3842.0,9997,0.10467041236079061,0.29038326477375337,1.4111584932480454,10.593329276087347,-0.24726044852191642
007647,0000070858,2014,2014-12-31,4833.0,2104534.0,95181.0,212415.0,,,224162.0,6020,0.0022964703825169848,0.10093208282688709,,14.559604622918757,
007647,0000070858,2015,2015-12-31,15888.0,2144316.0,93056.0,193430.0,,,233932.0,6020,0.007409355710632202,0.09020592114221972,,14.578331178371979,-0.02232588436767846
007647,0000070858,2016,2016-12-31,17906.0,2187702.0,93662.0,172859.0,,,241620.0,6020,0.008184844188102402,0.07901396076796566,,14.598362235807711,0.006512207702888517
007647,0000070858,2017,2017-12-31,18232.0,2281234.0,100417.0,185345.0,,,244823.0,6020,0.007992165643682323,0.08124769313450528,,14.640227082589712,0.07212103094104338
007647,0000070858,2018,2018-12-31,28147.0,2354507.0,111313.0,191365.0,,,242999.0,6020,0.011954519566091755,0.08127603782872593,,14.671841921691694,0.10850752362647764
007647,0000070858,2019,2019-12-31,27430.0,2434079.0,113589.0,226798.0,,,241409.0,6020,0.011269149440096233,0.0931761048018573,,14.70507900886403,0.02044684807704411
007647,0000070858,2020,2020-12-31,17894.0,2819627.0,93753.0,253056.0,,,248414.0,6020,0.006346229483545164,0.08974804114161199,,14.852115164662369,-0.17462958561128283
007647,0000070858,2021,2021-12-31,31978.0,3169495.0,93851.0,279070.0,,,245358.0,6020,0.010089304447553947,0.08804872700540622,,14.969082827169224,0.0010452998837371386
007647,0000070858,2022,2022-12-31,27528.0,3051375.0,115053.0,270050.0,,,244800.0,6020,0.009021506697800172,0.08850108557617467,,14.931102866667068,0.22591128490905787
007647,0000070858,2023,2023-12-31,26515.0,3180151.0,173512.0,285249.0,,,263249.0,6020,0.008337654406976272,0.08969668421405147,,14.972439237905746,0.508104960322634
007647,0000070858,2024,2024-12-31,27132.0,3261519.0,192434.0,266747.0,,,272400.0,6020,0.008318823223166873,0.08178612480871643,,14.997703595741715,0.10905297616303189
008007,0000072971,2014,2014-12-31,23057.0,1687155.0,88372.0,167337.0,,,166541.0,6020,0.013666201386357508,0.09918294406856513,,14.338554236382762,
008007,0000072971,2015,2015-12-31,22894.0,1787632.0,90033.0,167632.0,,,172280.0,6020,0.012806886428526676,0.09377321506887323,,14.396402396977653,0.018795546100574878
008007,0000072971,2016,2016-12-31,21938.0,1930115.0,93512.0,225532.0,,,176595.0,6020,0.011366162119873686,0.11684899604427715,,14.473090144598151,0.03864138704697173
008007,0000072971,2017,2017-12-31,22183.0,1951757.0,96776.0,185194.0,,,183256.0,6020,0.011365656687794639,0.09488578752375423,,14.484240550501019,0.03490461117289767
008007,0000072971,2018,2018-12-31,22393.0,1895883.0,100858.0,182497.0,,,174454.0,6020,0.011811382875420055,0.09625963205535362,,14.455195251032274,0.04217987930891964
008007,0000072971,2019,2019-12-31,19549.0,1927555.0,102453.0,193842.0,,,166740.0,6020,0.010141863656289963,0.10056366744398992,,14.47176291838347,0.015814313192805685
