ticker,permno,year,annual_ret,trading_days
BA,19561,2018,0.11531018332533247,251
BA,19561,2019,0.033272171179739046,252
BA,19561,2020,-0.33895491686584184,253
BA,19561,2021,-0.059516295370428594,252
BA,19561,2022,-0.05379647257920436,251
BA,19561,2023,0.36835910155024304,250
BA,19561,2024,-0.32095266687078955,252
BAC,59408,2014,0.15732737240304231,252
BAC,59408,2015,-0.047808967455331294,252
BAC,59408,2016,0.3333307591726017,252
BAC,59408,2017,0.35666773873577,251
BAC,59408,2018,-0.1497480721146264,251
BAC,59408,2019,0.4616366324650939,252
BAC,59408,2020,-0.116224573514174,253
BAC,59408,2021,0.4957321890599597,252
BAC,59408,2022,-0.238094080050501,251
BAC,59408,2023,0.04821402784723388,250
BAC,59408,2024,0.3385943573069221,252
BLK,87267,2014,0.15698483486591122,252
BLK,87267,2015,-0.023363160499003038,252
BLK,87267,2016,0.14622871568750717,252
BLK,87267,2017,0.38179923139481564,251
BLK,87267,2018,-0.21609668946670849,251
BLK,87267,2019,0.31831990027585516,252
BLK,87267,2020,0.47200479711327153,253
BLK,87267,2021,0.2941426967893419,252
BLK,87267,2022,-0.20371032426248398,251
BLK,87267,2023,0.17870587970952317,250
BLK,87267,2024,0.2926532194795109,252
BMY,19393,2014,0.14185033862187332,252
BMY,19393,2015,0.1923742289066984,252
BMY,19393,2016,-0.13056608210249104,252
BMY,19393,2017,0.0771671990232279,251
BMY,19393,2018,-0.12909108396288999,251
BMY,19393,2019,0.278628327401495,252
BMY,19393,2020,0.003921814176260134,253
BMY,19393,2021,0.028869253056783544,252
BMY,19393,2022,0.19001036287156983,251
BMY,19393,2023,-0.2615215685641872,250
BMY,19393,2024,0.15783811780940268,252
CSCO,76076,2014,0.2790879701932492,252
CSCO,76076,2015,0.006237773653004547,252
CSCO,76076,2016,0.1518897228895686,252
CSCO,76076,2017,0.3127237832333763,251
CSCO,76076,2018,0.16568046899504613,251
CSCO,76076,2019,0.1381849079832767,252
CSCO,76076,2020,-0.03533669799586347,253
CSCO,76076,2021,0.4575730296623338,252
CSCO,76076,2022,-0.22457520006707332,251
CSCO,76076,2023,0.09301668959409973,250
CSCO,76076,2024,0.20989500941858472,252
CSX,62148,2014,0.2851389119509669,252
CSX,62148,2015,-0.26751476956837267,252
CSX,62148,2016,0.42081149051356087,252
CSX,62148,2017,0.5543054767883451,251
CSX,62148,2018,0.144728918094299,251
CSX,62148,2019,0.18039958457157723,252
CSX,62148,2020,0.271110375801556,253
CSX,62148,2021,0.25705475411445566,252
CSX,62148,2022,-0.1658877319714817,251
CSX,62148,2023,0.13505680286651475,250
CSX,62148,2024,-0.0565740912621271,252
CVS,17005,2014,0.3655466586252402,252
CVS,17005,2015,0.029013232209992672,252
CVS,17005,2016,-0.17834564291185007,252
CVS,17005,2017,-0.05746382753116556,251
CVS,17005,2018,-0.07031346176835543,251
CVS,17005,2019,0.1726440312031238,252
CVS,17005,2020,-0.051493382908608235,253
CVS,17005,2021,0.5487084062775,252
CVS,17005,2022,-0.07610767660139021,251
CVS,17005,2023,-0.12541233288866857,250
CVS,17005,2024,-0.4075509076733916,252
EMR,22103,2014,-0.09628244572508513,252
EMR,22103,2015,-0.19734415513343073,252
EMR,22103,2016,0.21003168007539938,252
EMR,22103,2017,0.29039338744248755,251
EMR,22103,2018,-0.1190740222438026,251
EMR,22103,2019,0.31555347125377814,252
EMR,22103,2020,0.08600697538240401,253
EMR,22103,2021,0.18176241204280869,252
EMR,22103,2022,0.05741749198420612,251
EMR,22103,2023,0.03760004452198972,250
EMR,22103,2024,0.29750377218573826,252
